Date,Network,Upload,Download,Total
"2023-05-08","NOS-F368-5","140 MB","1,14 GB","1,28 GB"
"2023-05-09","NOS-F368-5","352,8 MB","1,08 GB","1,43 GB"
"2023-05-10","NOS-F368-5","228,5 MB","3,8 GB","4,02 GB"
"2023-05-11","NOS-F368-5","1,67 GB","8,31 GB","9,98 GB"
"2023-05-12","NOS-F368-5","189,5 MB","1,97 GB","2,16 GB"
"2023-05-13","NOS-F368-5","675,2 MB","3,46 GB","4,14 GB"
"2023-05-14","NOS-F368-5","173,8 MB","1,1 GB","1,27 GB"
"2023-05-15","NOS-F368-5","135,7 MB","1,38 GB","1,51 GB"
"2023-05-16","NOS-F368-5","1,54 GB","5,92 GB","7,47 GB"
"2023-05-17","NOS-F368-5","180,2 MB","1,59 GB","1,77 GB"
"2023-05-18","NOS-F368-5","643,7 MB","9,33 GB","9,97 GB"
"2023-05-18","Wi-Fi","1 KB","Zero KB","1 KB"
"2023-05-19","NOS-F368-5","461,6 MB","2 GB","2,46 GB"
"2023-05-20","NOS-F368-5","183,1 MB","1,4 GB","1,58 GB"
"2023-05-21","NOS-F368-5","267,7 MB","6,2 GB","6,46 GB"
"2023-05-22","NOS-F368-5","182 MB","5,78 GB","5,96 GB"
"2023-05-23","NOS-F368-5","690,7 MB","8,45 GB","9,14 GB"
"2023-05-24","NOS-F368-5","139,9 MB","4,76 GB","4,9 GB"
"2023-05-25","NOS-F368-5","1,38 GB","10,42 GB","11,8 GB"
"2023-05-26","NOS-F368-5","586,8 MB","2,29 GB","2,88 GB"
"2023-05-27","NOS-F368-5","559,6 MB","2,57 GB","3,13 GB"
"2023-05-28","NOS-F368-5","343,4 MB","2,43 GB","2,78 GB"
"2023-05-29","NOS-F368-5","257,9 MB","2 GB","2,26 GB"
"2023-05-30","NOS-F368-5","810,6 MB","9,27 GB","10,08 GB"
"2023-05-31","NOS-F368-5","140,1 MB","1,11 GB","1,25 GB"
"2023-06-01","NOS-F368-5","1,02 GB","7,19 GB","8,2 GB"
"2023-06-02","NOS-F368-5","322,2 MB","10,12 GB","10,44 GB"
"2023-06-03","NOS-F368-5","148,4 MB","647,9 MB","796,3 MB"
"2023-06-04","NOS-F368-5","147,3 MB","343,4 MB","490,7 MB"
"2023-06-05","NOS-F368-5","164,9 MB","612,1 MB","777 MB"
"2023-06-06","NOS-F368-5","1,89 GB","13,03 GB","14,92 GB"
"2023-06-07","NOS-F368-5","295,7 MB","4,36 GB","4,65 GB"
"2023-06-08","NOS-F368-5","428,4 MB","8,21 GB","8,64 GB"
"2023-06-09","NOS-F368-5","178,6 MB","7,1 GB","7,28 GB"
"2023-06-10","NOS-F368-5","181,6 MB","3,16 GB","3,34 GB"
"2023-06-11","NOS-F368-5","153,1 MB","1,62 GB","1,77 GB"
"2023-06-12","NOS-F368-5","408,5 MB","25,13 GB","25,54 GB"
"2023-06-13","NOS-F368-5","221 MB","1,35 GB","1,57 GB"
"2023-06-14","NOS-F368-5","1,3 GB","4,81 GB","6,11 GB"
"2023-06-15","NOS-F368-5","757,7 MB","9,45 GB","10,21 GB"
"2023-06-16","NOS-F368-5","517,1 MB","8,75 GB","9,27 GB"
"2023-06-16","Wi-Fi","1 KB","Zero KB","1 KB"
"2023-06-17","NOS-F368-5","152,6 MB","1,26 GB","1,41 GB"
"2023-06-18","NOS-F368-5","147,9 MB","1,21 GB","1,36 GB"
"2023-06-19","NOS-F368-5","150,4 MB","1,93 GB","2,08 GB"
"2023-06-20","NOS-F368-5","518,7 MB","3,34 GB","3,86 GB"
"2023-06-21","NOS-F368-5","428,6 MB","2,22 GB","2,64 GB"
